Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
风景,任何人,坎坷,0.7748,0.4596,0.4128
奔驰,不可多得,最新消息,0.6915,0.647,0.6412
一个多,门口,庄园,0.5477,0.5055,0.4966
吃力,行动,好吃,0.6516,0.4493,0.3303
火车,教父,摇滚,0.7273,0.6301,0.4917
打卡,收拾,华谊,0.6051,0.5775,0.5672
幸福,沟通,莫过于,0.6844,0.6492,0.6453
无聊,一只,缓解,0.5879,0.5371,0.5131
衣服,忽冷忽热,天气,0.5538,0.529,0.3573
积极向上,平凡,求快,0.5953,0.5489,0.4905
撑不住,担心,健康,0.7449,0.6575,0.6565
再见,活下去,外面,0.7784,0.7119,0.5256
老师,聚在一起,音乐节,0.7014,0.6462,0.5946
早起,休息,茶,0.6304,0.6255,0.4787
脑海中,初恋,问及,0.7868,0.7236,0.5634
有缘,黑猫,好像,0.7341,0.6866,0.5584
明天,在乎,死去,0.6985,0.6803,0.6736
浴池,暖色,活泼,0.7261,0.547,0.4815
社会交往,妈妈,叔本华,0.6987,0.6669,0.6242
谢谢你们,陪伴,一直,0.8308,0.745,0.7246
赏花,踏春,美女,0.8847,0.5547,0.5458
桂花香,浓浓,花香,0.9099,0.7507,0.6873
刻骨铭心,点亮,暹罗,0.7944,0.6212,0.5746
打电话,工人,门上,0.6647,0.636,0.5402
拒绝,一切都是,出去,0.7157,0.6933,0.6289
纠缠不清,路过,读懂,0.8193,0.6683,0.6135
疯狂,结果,农,0.5994,0.5339,0.4294
拥抱,失恋,末日,0.8047,0.7387,0.6376
香茶,氤氲,穿堂,0.6375,0.5795,0.479
美好,从不,现实,0.7374,0.7229,0.6623
没什么,下雾,常驻,0.655,0.6284,0.413
打卡,一起,开心,0.7013,0.619,0.5965
风景,看起来,苏州,0.8077,0.5857,0.5345
佛教,教团,提携,0.7149,0.6165,0.4894
好好学习,好好学,天天向上,0.9509,0.9342,0.6503
阳澄湖,大闸,大闸蟹,0.7828,0.5512,0.514
继续前进,专注,唯一,0.7933,0.7474,0.7083
穷学生,学生,心虚,0.8462,0.6897,0.5235
身边,女生,地狱,0.7368,0.6376,0.6192
公园,健步,桥,0.8992,0.818,0.3491
好好,残忍,挂,0.6905,0.6174,0.4137
客船,姑苏,夜半钟声,0.8636,0.5912,0.525
清澈,合唱团,故乡,0.7657,0.6806,0.6468
